employee_title,location,employee_status,review_title,pros,cons,rating_overall
 Sales Associate,Singapore,5 Jul 2021 ,Strong company,"nice working culture, nice team
","no cons from my experience
1 person found this review helpful
Helpful
Share
Repor",5.0
 Technical Recruiter,Singapore,12 Jul 2021 ,"Glamorous on the outside, messy on the inside","Free food
Great learning opportunity
Every resources is everywhere, you need to take initiative to learn
","No work life balance 
Criteria and benchmark used for assessing perf is unfair
Alot of talks on promoting DEI , but really, we ourselves are not walking the talk. Look at the representation of our teams and you will understand.
Advice to Management
Hire more Singaporean Locals
3 people found this review helpful
Helpful
Share
Repor",4.0
Anonymous,Singapore,3 Jul 2021 ,Great Place to work,"Great place to work, with top of the field other folks
","Everyone is at the top of their field, so standing from the crowd can be trickier than other places.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,2 Jul 2021 ,Proud to be Googlers,"Owsm company 
Everyone are cooperative
","No cons in Google ,best job
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Summer Intern,,17 Jul 2021 ,Intern,"Good culture, nice colleagues, dynamic
","There are no cons that I can think off
Advice to Management
-
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Account Manager,Singapore,30 Jun 2021 ,Great employer,"Great company culture, colleagues, benefits and interesting industry. Great work life balance.
","Career progression could be a little faster.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Administrative Assistant,Singapore,28 Jun 2021 ,Good,"Good company to work in
","No cons great company to work for
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,11 Jul 2021 ,Google SG,"Bright people, opportunity to innovate and work on projects you are passionate about
","Too many bright people, perf can be a blood sport, distributed site
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Customer Success Manager,,27 Jun 2021 ,Great working culture and flexible time,"Google offers flexibility in work and many employee welfare to get people 'relaxed' amidst this pandemic
","Late nights and weekends are almost a necessity if you want to perform above your peers
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Technician,Singapore,9 Jul 2021 ,Typical,"OK to work, no issues
","Nothing much to complain either
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Strategy Manager,Singapore,5 Jul 2021 ,Great colleagues and benefits but less challenging,"Great caliber of people
Caring culture focused on wellbeing
","Feels like many people are overqualified and lacking challenge or learning opportunities
US centric with limited impact for those in other regions
1 person found this review helpful
Helpful
Share
Repor",3.0
 Google Account Manager,Singapore,29 Jun 2021 ,"Great place to work, incredible job opportunities","The SG Google office is an APAC hub which means there are a ton of different teams from all kinds of different functions. In turn, this means a lot of opportunities to grow, progress, and interact with potential career opportunities.
","Not much to complain about....
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Business Development Manager,,27 Jun 2021 ,Good,"Good food, pay and friendly
","Hurried, fast, no time to do stuff
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Manager,Singapore,26 Jun 2021 ,Na,"Its a very good company
","Salary is below market average
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Account Manager,Singapore,24 Jun 2021 ,"Good place to work, highly competitive environment","Office perks, health insurance, inclusivity, good compensation
","High pressure, high expectation from leadership, highly competitive
Advice to Management
N/a
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,9 Jun 2021 ,ok,"Very good company, very user-friendly, and high salary
","In my opinion, Google has no shortcomings
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Industry Head,Singapore,24 Jun 2021 ,Great place,"Free food, good benefits and exposure
","Quarterly numbers, favoritism and too focused on bringing in the dole
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Sales Associate,Singapore,8 Jun 2021 ,Good place to work,"Good place to work, thanks!
","Too much food! I'm fat now
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,21 Jun 2021 ,wow.,"good working culture, flexible hours
","startup mentality, aggressive timelines for completion of any tasks
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Sales,,16 Jun 2021 ,Good,"Good goos good good good
","Bad bad bad bad bad
Advice to Management
Good baf
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Investment Analyst,Singapore,1 Jun 2021 ,None,"None I just wanna finish this
","There were no cons working here
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Janitor/Cleaner,Singapore,28 May 2021 ,High salary Low position,"Best salary, flexible, understanding, no micro managing
","Low position janitor, no pride, Low esteem
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,26 May 2021 ,engineer,"Benefits, wlb, diversity and culture
","Tech scope , new products
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,26 May 2021 ,Software engineer,"Wlb, benefits, wlb and culture
","Tech scope and individual impact
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Contract Specialist,Singapore,9 Jun 2021 ,Great job,"Great package and benefits always
","Lack of ethics in Business operations
Advice to Management
Do something better with your money
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,25 May 2021 ,Good place to work,"Great people, good benefits and perks
","Business org can be very political
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Manager,Singapore,24 May 2021 ,Google Review,"Very flexible and good benefits
","Sometimes, Work life balance could be an issue
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Head of Business Development,Singapore,23 May 2021 ,Quick review,"Amazing company for work profile and well being
","Big Corporation and hence slow on execution
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,24 May 2021 ,Great company,"Great place to work with awesome opportunities
","No cons what so ever
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,5 Jun 2021 ,Good place,"Nice environment to learn and grow as a junior
","Nothing too bad to be honest just that not alot of products see the light of day
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Recruiter,Singapore,20 May 2021 ,Good,"Good company great benefits for all
","Not bad, usual big company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,21 May 2021 ,Good,"Very good. Please have a try.
","No bad thing found so far
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Account Manager,"Jurong West New Town,",19 May 2021 ,AE,"Benefits, compensation, smart people, good products
","slow promotion, red tapes, political
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Operations,Singapore,3 Jun 2021 ,"Its ok, but company is dead","freedom to do your work alone
","lack of structure, company is unstable
Advice to Management
Nothing much to say here.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,2 Jun 2021 ,Legal Counsel,"Average package. Not that fantastic compared to market rate.
","Not the best package in the package. Nevertheless it’s still acceptable.
Advice to Management
Remunerate your staff properly and you will be able to find the correct people you want.
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Engineer,Singapore,17 May 2021 ,Good environment,"Lot of employee welfare for everyone to use
","Not that i think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Recruiter,Singapore,16 May 2021 ,Great company,"Excellent, good culture and environment, great place to work
","None, all good, positive experience
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Customer Engineer,Singapore,13 May 2021 ,Google Customer Engineer,"high salary and wonderful working environment
","I do not have any bad memory working in this wonderful company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Executive,Singapore,11 May 2021 ,NA,"Overall it is still ok
","It is a good company
Advice to Management
NA
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Marketing Manager,Singapore,24 May 2021 ,"Great company culture, can be bureaucratic","Google works on so many products that it's hard not to find products/teams that you're interested in, great working culture
","Company is becoming more bureaucratic/slow, internal mobility seems to be more limited vs. before
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Sales Manager,"Bedok New Town,",3 May 2021 ,Great Company,"People first mentality - for the most part
","Becoming like other legacy large tech company. Slow and lethargic
1 person found this review helpful
Helpful
Share
Repor",5.0
Anonymous,,5 May 2021 ,Lovin' it,"Great culture at this place!
","Big org now after growing so much
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Industry Manager,Singapore,18 May 2021 ,"Great perk, average management","Perk, office, reputation, colleagues, connection
","Management, team support, politics, personal improvement, relationship between teammates
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Consultant,Singapore,17 May 2021 ,Great compaany,,"ltant in Singapore
Recommend
CEO Approval
Business Outlook
Pros
Dynamic and fun with great leaders
Cons
Long hours and sometimes weekends work
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,2 May 2021 ,Best company to work for,"Company with the right values and put people first
","it's a really great company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Account Manager,Singapore,28 Apr 2021 ,Great place to work with a lot of opportunities to grow,"Huge opportunity to grow
Great culture
Company takes care of employee's wellbeing
","High performance expected
Growth is a default
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Technical Solutions Consultant,Singapore,28 Apr 2021 ,"Good work-life balance, great people",,"ltant in Singapore
Recommend
CEO Approval
Business Outlook
Pros
Good work-life balance, great managers, talented and self-driven colleagues in general.
Cons
Experience might vary depending on teams and projects. I had good and bad moments, but mostly good.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Program Manager,Singapore,29 Apr 2021 ,Really miss it,"- Everything about the work environment
","- Was far too much travel for the role + was at the early stages of kicking off the team there so was quite lonely other than my Noogler crew
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,28 Apr 2021 ,Former staff,"Amazing staff benefit and work space
","Not much cons compared across corporates
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Administrative Assistant,Singapore,24 Apr 2021 ,Very good company,"Very good company to work
","no cons that i can think about
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Technical Lead,Singapore,8 May 2021 ,Good pay and good culture,"Big tech name and you know it is good
","OT culture and tight deadlines to be mets
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Strategic Partner Manager,"Bukit Merah Estate,",23 Apr 2021 ,Best company in the world,"Very supportive but high paced, innovative environment
","People are just too nice some time !
Advice to Management
N/A
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Consultant,Singapore,21 Apr 2021 ,Awesome place to grow your career,,"ltant in Singapore
Recommend
CEO Approval
Business Outlook
Pros
Fantastic collaborative colleagues to work with
Cons
Too much internal reporting to senior management
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,21 Apr 2021 ,Good wlb,"Good wlb and good compensation
","Less growth and interesting work
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,19 Apr 2021 ,good place to work at,"freedom to initiate projects
fast processes
","no cons so far that I see
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Strategy,Singapore,17 Apr 2021 ,Very great working environment,"Companies care about the staff a lot
","Nothing specific at the moment
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Partner Operations Manager,Singapore,1 May 2021 ,Overall good,"Great company, a lot to learn
","Nothing much, except for certain colleagues who are not very responsible
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,Singapore,16 Apr 2021 ,Great tech company,"Amazing perks and great working culture
","Can be bureaucratic and slow in execution
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,29 Apr 2021 ,Excellent work life balance,"Excellent remuneration, and work life balance
","A really high performing organization and with high expectations from their employees. Self marketing ability is a celebrated attribute more than anything else. Promotions are hard.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Internship,Singapore,14 Apr 2021 ,Software Engineering,"Good work environment, helpful colleagues
","no downsides from my experience
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Analyst,Singapore,7 Apr 2021 ,Good place to work,"Good benefits and Good people
","No inspirational vision as a team, too competitive, too hectic, overwork,
1 person found this review helpful
Helpful
Share
Repor",5.0
Anonymous,,1 Apr 2021 ,Good,"Really good compensation and benefits
","Nothing much to talk about
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Engineer,,26 Mar 2021 ,Engineer,"Good company, best benefit ever
","Too many people not working much
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Computer Programmer,Singapore,26 Mar 2021 ,good company,"many benefits and compensations. lively work environment
","no cons as company spirit is good
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,10 Apr 2021 ,Great company,"Great place to work for
","All good to work for
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Regional Client Lead,Singapore,10 Apr 2021 ,Good company but not dreamland,"Great benefit, possibility of advancement
","Management and directors are completely shielded from any negative comments by the HR department and it is a highly political organization
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,10 Apr 2021 ,Good,"Good Benefits if you are an achiever
","Need to be an achiever
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,25 Mar 2021 ,Great company,"Great company to work with
","None at all...no cons at all
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Human Resources Manager,Singapore,24 Mar 2021 ,Great,"Culture benefits people opportunity fun
","Slow decision making slow execution
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Marketing Manager,Singapore,6 Apr 2021 ,Great company with insane perks,"People you work with are probably the smartest
","Too hierarchical and growth can be slow
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,21 Mar 2021 ,Great company who cares about it's employees,"Great culture and cares about it's people
","Not much cons. All good
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Talent Acquisition,Singapore,4 Apr 2021 ,So-so company to work for,"Great benefit and office ammenities
","Not as glamorous as what people expect out of a top tier company
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,2 Apr 2021 ,Getting too big,"Great perks, people are great, and people know where you work.
","Getting too big, leadership is absent
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,19 Mar 2021 ,NA,"Great culture and friendly colleagues
","NA NA NA NA NA
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Sales,,30 Mar 2021 ,"Great benefits, but no real prospect for growth","Personal benefits are good, and everyone knows about them
","- they hire overqualified external people for roles; people come into a role and realise they're overqualified and aren't satisfied or excited from the start
- No real internal promotion or career support
- No specialist track so people have to become people managers to progress, hence middle management is very poor and managers aren't concerned about the careers of the people they're managing
1 person found this review helpful
Helpful
Share
Repor",3.0
 Software Developer,Singapore,30 Mar 2021 ,Best to work,"flexible working
good working environment
the perks
","Potentially long durations between promotions.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Partnerships Manager,"Tampines New Town,",24 Mar 2021 ,good job experience,"i like the working culture here
","fairly hierarchal nature, because many people
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,23 Mar 2021 ,Good place to work,"Flexible working culture, supportive, forward thinking, modern
","Competitive, periods of long hours
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Strategy,Singapore,8 Mar 2021 ,Google,"Awesome people to work with
","Slow promotion speed and kind of blackbox
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Android Developer,Singapore,8 Mar 2021 ,Android,"hard working, reliable, reliable, reliable, reliable
","sensitive, sensitive, sensitive, sensitive, sensitive
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Field Sales Representative,Singapore,21 Mar 2021 ,"Great company culture, treating everyone with respect and equality","Good pay and perks, good company culture
","Large company, sometimes slow to act
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,19 Mar 2021 ,Low salary compared to other big names,"Free food, good atmosphere and nice colleagues
","Low income, especially when you don’t have counteroffers
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Enterprise Sales,Singapore,20 Mar 2021 ,-,"amazing technology and products to offer to customers
","lack of customer centricity and too internally focused
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Product Marketing Manager,Singapore,4 Mar 2021 ,A really dream employer,"Great team, management, salary and benefits
","Drastically changing roles within the company (from one function to another) might be a challenge
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,Singapore,3 Mar 2021 ,Mi zjzfnxmznvzmgsjgjfgj,"Good working culture, excellent food options good holidays
","No cons all the things are perfect and blessings
Advice to Management
Msugsgms
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketing Manager,Singapore,15 Mar 2021 ,NA,"Good working environment, good brand name
","Can't think of anything at the moment
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,Singapore,28 Feb 2021 ,Great company to work at,"Employee Friendly, Good perks and benefits, inter-team mobility
","Nothing that I can think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Head of Sales,Singapore,27 Feb 2021 ,Best place to work,"Great experience working with smart motivated Googlers.
","Google is getting bigger so decision making process longer
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Account Manager,Singapore,25 Feb 2021 ,People first company with great culture,"Great benefits, great culture and the company cares about their employees development and safety deeply
","Complex organization with many cross functional collaboration with complex structures.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Strategic Partner Manager,Singapore,26 Feb 2021 ,"Powerhouse of a place to learn, contribute, and grow","Independent thinking and working is embraced (very little-no micromanaging), fantastic and intelligent group of colleagues, company is transparent about goals
","Because it is so big you can feel like a cog in the machine
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,2 Apr 2021 ,Check one time,"Salary is very good and the only good reason
","Long working hours, like very long
Advice to Management
Need to a bit easier
Be the first to find this review helpful
Helpful
Share
Repor",1.0
Anonymous,,23 Feb 2021 ,Great,"It it a great company
","I don't have any cons
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Project Manager,,22 Feb 2021 ,Great place to work,"Amazing culture and team to work
","Can feel like living in a bubble at time s
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Industry Manager,Singapore,30 Mar 2021 ,"Politics, politics, and politics","- talented colleague
- good perks
- good brand
","- politics
- terrible people manager
- too many events internally and externally
Advice to Management
fire politicians
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Marketing Manager,,15 Feb 2021 ,Great career experience,"Great work culture and benefits
","Some teams are different from others
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Operations Manager,Singapore,15 Feb 2021 ,Great company,"Interesting problems to solve, benefits , salary , peers , culture
","Too big to feel lost or insignificant
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Program Manager,Singapore,1 Mar 2021 ,"A great professional and personal experience, but hard to progress and too much politics","great environment, benefits and perks and relocation opportunities
","Despite being an amazing company politics and visibility is important to progress your career
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Industry Manager,Singapore,11 Feb 2021 ,Great company,"Amazing people, great salary, great brand
","Getting too big, slow in areas
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,23 Feb 2021 ,Good,"Good and Fun, very interesting
","No Cons, eat food every day
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,20 Feb 2021 ,Lots of smart people tripping over one another,"pay and benefits, smart colleagues, excellent techology
","Job scope narrow, lots of people doing similar roles, limited scope for innovation if you are not based at HQ. Some truly horrible people in very senior leadership roles who make life miserable for their organisations but everyone is too afraid to say anything. Easy to grow in the early stages of career - extremely difficult as you head towards Director level. Lots of senior leaders have their fiefdoms and 'friends' whom they take care of at the expense of other talent. Politics are hideous
Advice to Management
looks for efficiencies in the organisation, reduce superfluous staff, do anonymous feedback sessions for your senior leaders, you'll be astonished at what they are really like as opposed to their public personas
1 person found this review helpful
Helpful
Share
Repor",3.0
Anonymous,,3 Feb 2021 ,Google cares for its employees,"They are very supportive of WFH and well-being
","It's a high pressure environment
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Manager,Singapore,28 Jan 2021 ,Benefits,"Healthcare, onsite facilities, health insurance
","Career progression, hierarchy and bureaucracy
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Developer,Singapore,29 Jan 2021 ,Working at Google is an unique oppotunity,"Working at Google is a unique opportunity
","it is really stressful sometimes
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Channels Specialist,Singapore,26 Jan 2021 ,Lifechanging,"-Management that cares about overall growth
-Endless opportunities that relies on you to grab 
-Challenging work on daily basis
","There isn't much as you only bite off what you can chew.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Development Engineer,Singapore,26 Jan 2021 ,Good company,"Nice office and colleague
Good work life balance
","there is no cons s
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Engineering Executive ,Singapore,25 Jan 2021 ,best,"very conducice environent to work in
","very high standards...hard to compete with sundar pichai
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Google Specialist,Singapore,25 Jan 2021 ,Good job,"I like the good work life balance
","Takes a significant time for promotion
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,23 Jan 2021 ,Good company,"Good benefits and decent salary
","Some red tapes and bureaucracy
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Manager,Singapore,21 Jan 2021 ,Good,"Good and fun working environment
","Can be stressful at times
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,22 Jan 2021 ,Dream job,"Culture , compensation, product , challenge , opportunity
","Performance review by semester very ambiguous not clear rules
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Executive Director,Singapore,20 Jan 2021 ,Best place to work in,"I get really rich and I love it
","Nothing bad to say about it
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,17 Jan 2021 ,A Dream Job,"The pantry is great. Wonderful and infinite selection of snacks. I feel like Charlie in the chocolate factory.
","Extra precaution necessary to control my weight.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Human Resources,,12 Jan 2021 ,Awesome company,"Great culture, smart people, good benefits
","High performance environment, stressful, competitive
1 person found this review helpful
Helpful
Share
Repor",5.0
 Legal Specialist,,14 Jan 2021 ,Legal Specialist,"good working environment, good benefit
","nothing much really. so far satisfied
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Associate Staffing Lead,Singapore,14 Jan 2021 ,Great,"Flexibility, growth and impact in the world
","Ambiguity, constant change, competitive salary range, long-term career planning
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,13 Jan 2021 ,Ok,"Good people, great benefits. Many opportunities
","Hard to climb the ladder
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Account Manager,Singapore,13 Jan 2021 ,Energetic,"Flexibility in time maven heng
","Able to plan at your own
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,28 Jan 2021 ,Great to work at,"Learned a lot during my time here
","Can get stressful with many deadlines
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,27 Jan 2021 ,Good company,"Perks and generally good people
","Big company can lead to some politics
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,Singapore,12 Jan 2021 ,Great place to work,"Great place to work Great place to work
","nothing to declare here etc
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Financial Analyst,Singapore,25 Jan 2021 ,Review,"Positive and Energetic Environment to work in
","Work is stressful in the company, alot of competition
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Program Manager,Singapore,11 Jan 2021 ,"Flexible, good benefits, great people","Community of incredibly smart and solid people
","Progression can be slower in non sales roles
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Veterinarian,Singapore,10 Jan 2021 ,awesome,"It is an awesome awesome place!
","Nothing much to say really
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Data Scientist,Singapore,22 Jan 2021 ,Wonderful people for a corporate,"Wonderful coworkers, amazing products, and good benefits
","Google has become a big corporate
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Marketing Manager,Singapore,5 Jan 2021 ,Great inclusive culture,"Work on meaningful projects with top talent
","Poor work / life balance
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,18 Jan 2021 ,General,"Nice environment good as a new comer
","Sometime is over load, work too much
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Strategy and Ops,Singapore,12 Jan 2021 ,Google,"Benefits, smart employees, work lolife balance
","Big company that has grown
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,Singapore,23 Dec 2020 ,Great inclusive culture,"Work on meaningful projects with top talents
","Mostly the same as a standard software engineer's woes
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,5 Jan 2021 ,Nice workplace,"Nice workplace and nice office
","Office quite far to the West.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Business,Singapore,5 Jan 2021 ,it was okay,"the environment was okay so far
","not much things to say, depend on what's is your expectation then
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Supply Chain,Singapore,4 Jan 2021 ,Fun but...,"Nice workplace with all the splendid benefits
","As a vendor, you are treated like an outsider
Advice to Management
Appreciate tvc better
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Strategy &Amp; Planning,Singapore,14 Dec 2020 ,Best company to work for :),"Incredible culture and work environment, working with some of the smartest people in the world!
","No objective cons. 
Depending on personal preferences, some people may prefer a more fast-paced environment such as in startups.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Finance Manager,Singapore,11 Dec 2020 ,It's no coincidence that Google has gotten so many employer of the year accolades.,"The people and the culture. Everyone is super smart and helpful.
","Leadership might not be transparent in all facets of the company.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Engineer,Singapore,8 Dec 2020 ,Nice environment,"good learning to start here
","nothing bad but more flexibility
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,6 Dec 2020 ,Benefits,"Best in class medical insurance
","Lack of work life balance
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Operations Manager,Singapore,4 Dec 2020 ,Great company to work,"Free F&B. Very nice office
","Not easy to get promoted
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,,3 Dec 2020 ,Cool,"Good pay good culture good colleagues
","Bad management bad work life balance
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,14 Dec 2020 ,Review,"Good culture, people and opportunities to develop
","nothing really bad or negative to comment
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,Singapore,28 Nov 2020 ,Pretty Good,"Good environment, friendly colleagues doing very fruitful projects
","Bad working hours
Management need to be more transparent
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,25 Nov 2020 ,Manager,"work life balance, relaxed culture
","Need room for career advancement
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Development Engineer,Singapore,7 Nov 2020 ,Great,"Love it and the dining hall is pretty great.
","Pay is not so good.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Consultant,Singapore,11 Nov 2020 ,Good,,"ltant in Singapore
Recommend
CEO Approval
Business Outlook
Pros
good place to work for a start
Cons
none that i can think of
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,5 Nov 2020 ,Learning and Development,"Many resources to upskill and learn
","Over-achieving to excel during performance review
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Sales Lead,Singapore,22 Oct 2020 ,Positive feedback,"Great culture, great benefits, opportunity to grow in your career
","Sometimes, work can take over your life, but then it's Google so who cares?
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,21 Oct 2020 ,Good place to work,"Great atmosphere
Nice place
Good tech
High salary
","More challange
Hard to hired
No fulltime remote
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Staff User Experience Designer,Singapore,20 Oct 2020 ,Solid place to work,"- Working with really smart and generally kind people
- Can work in virtually any space, lots of new areas to learn about and explore (it's like working many mini companies
- Great global mobility
","- Still ways to go in terms of true diversity – highest level leaders are still extremely homogenous
- Lots of deadlines
- Org is large and complex which means it can be hard to move fast if you aren't good at navigating ambiguity and consensus building
Be the first to find this review helpful
Helpful
Share
Repor",5.0
